0.14,0.16,0.14,0.32,0.44,0.36,0.62,0.52,0.62,0.76,0.72,0.8,1.22,1.28,1.3,1.04,1.6,1.68,2.06,1.82,2.02,2.56,2.78,2.96,3.08,3.8,3.44,3.34,3.92,4.32,4.78,4.48,4.1,4.44,4.48,4.72,4.74,5.26,4.98,4.46,5.28,4.4,4.56,4.66,5.02,4.26,3.96,4.18,4.46,4.08,4.36,4.06,3.86,3.94,3.74,3.94,3.06,3.68,3.42,3.78,3.4,3.84,3.48,3.72,3.66,3.56,3.12,3.38,3.08,3.04,3.04,3.4,3.4,2.88,2.46,2.46,3.02,2.32,2.52,2.56,2.38,2.4,2.04,2.54,1.78,1.64,1.54,1.38,1.48,1.5,1.62,1.6,1.32,1.5,1.16,0.86,1.02,0.94,1.22,1.32,0.84,0.88,0.88,0.96,0.88,0.84,0.94,1,0.76,0.74,0.56,0.62,0.68,0.44,0.52,0.62,0.28,0.6,0.38,0.38,0.36,0.34,0.26,0.28,0.36,0.24,0.24,0.24,0.32,0.26,0.22,0.24,0.2,0.2,0.14,0.12,0.12,0.24,0.16,0.16,0.04,0.12,0.1,0.14,0.08,0.1,0.1,0.08,0.06,0
0.02,0.08,0.06,0.08,0.06,0.08,0.08,0.08,0.06,0.06,0.12,0.18,0.16,0.3,0.2,0.16,0.32,0.32,0.54,0.58,0.54,0.7,0.92,1,1.04,1.28,1.24,1.72,1.66,2.1,1.9,2.32,2.28,2.4,2.54,3.22,2.98,3.08,2.82,3.14,2.62,3.14,2.78,3.1,3.06,3.26,3.2,3.32,3.14,3.62,3.28,3.5,2.7,2.42,2.74,2.86,3,2.32,2.36,2.68,2.58,2.36,2.54,2.1,2.2,2.06,1.76,2.06,2.06,1.68,1.9,1.84,1.58,1.56,1.68,1.56,1.62,2.1,1.56,1.66,1.4,1.22,1.3,1.34,1.4,1,0.88,0.96,1.04,0.96,1.06,1.02,1.1,1,0.88,0.74,0.82,0.68,0.64,0.82,0.82,0.68,0.74,0.62,0.64,0.56,0.44,0.74,0.54,0.52,0.54,0.42,0.46,0.4,0.34,0.44,0.44,0.4,0.36,0.28,0.44,0.42,0.18,0.38,0.2,0.22,0.3,0.2,0.26,0.22,0.3,0.2,0.2,0.14,0.18,0.06,0.18,0.06,0.06,0.08,0.12,0.08,0.18,0.12,0.12,0.1,0,0.1,0.06,0
0.04,0.12,0.14,0.14,0.02,0.1,0.12,0.04,0.06,0.12,0.16,0.16,0.1,0.24,0.28,0.24,0.34,0.28,0.4,0.4,0.4,0.5,0.64,0.52,0.78,0.84,0.86,0.9,0.9,0.94,0.94,1.1,1.12,1.28,1.42,1.42,1.46,1.42,1.5,1.54,1.66,1.68,1.88,1.76,1.88,1.86,2.12,1.94,1.94,2.3,2.28,2.06,1.92,2.08,1.86,2.54,2.1,1.86,2.14,1.92,1.68,1.9,2.06,1.78,1.98,1.8,1.74,1.64,1.74,1.62,1.66,1.96,1.52,1.76,1.6,1.34,1.32,1.86,1.54,1.56,1.54,1.32,1.74,1.34,1.22,0.92,0.98,0.96,0.92,1.08,0.78,1.2,0.78,0.96,0.68,0.66,0.94,0.74,0.88,0.72,0.68,0.66,0.5,0.62,0.38,0.74,1,0.5,0.54,0.4,0.62,0.5,0.54,0.52,0.44,0.42,0.46,0.34,0.42,0.48,0.32,0.42,0.28,0.32,0.22,0.42,0.34,0.24,0.28,0.16,0.42,0.24,0.18,0.28,0.2,0.12,0.22,0.2,0.16,0.16,0.14,0.18,0.14,0.34,0.18,0.2,0.1,0.14,0.1,0
0.08,0.08,0.06,0.1,0.04,0.1,0.16,0.08,0.14,0.04,0.2,0.04,0.12,0.16,0.1,0.14,0.06,0.16,0.2,0.2,0.38,0.4,0.24,0.4,0.46,0.52,0.54,0.7,0.74,0.66,0.64,0.86,0.84,0.9,0.86,0.94,1.14,1.12,1.08,1.06,1.22,1.42,1.2,1.08,1.62,1.86,1.44,1.36,1.28,1.4,1.54,1.54,1.4,1.36,1.36,1.22,1.28,1.3,1.58,1.56,1.26,1.4,1.14,1.5,1.2,1.48,1.16,1.36,1.28,1.04,1,1.04,1.06,1.08,0.96,1.1,1.16,1.36,1.3,0.96,0.82,1,1.1,0.98,0.94,1.1,1.04,1.02,0.9,0.86,0.86,0.92,0.68,0.86,0.82,1.02,0.72,1.04,0.94,0.92,0.76,0.74,0.66,0.84,0.62,0.64,0.6,0.46,0.44,0.72,0.5,0.58,0.42,0.52,0.6,0.58,0.5,0.48,0.46,0.38,0.46,0.38,0.36,0.36,0.5,0.32,0.44,0.3,0.3,0.5,0.4,0.36,0.3,0.34,0.3,0.24,0.3,0.3,0.18,0.2,0.26,0.18,0.28,0.26,0.2,0.2,0.22,0.12,0.12,0
0.04,0.04,0.02,0.1,0.18,0.1,0.1,0.16,0.1,0.06,0.06,0.14,0.06,0.18,0.18,0.2,0.2,0.18,0.08,0.18,0.26,0.18,0.48,0.32,0.42,0.44,0.52,0.32,0.56,0.46,0.5,0.38,0.62,0.76,0.8,0.56,0.64,0.8,0.68,0.6,0.6,0.76,0.64,0.82,0.7,0.8,0.82,1,1.12,0.78,0.66,0.84,0.82,1.04,0.88,0.92,0.74,1.12,0.84,0.76,1.04,1.2,0.84,0.82,0.68,0.68,0.88,0.74,0.74,0.66,0.66,0.74,0.94,0.8,0.72,0.68,0.7,0.78,0.88,0.5,0.68,0.6,0.52,0.52,0.6,0.42,0.34,0.38,0.36,0.42,0.42,0.44,0.4,0.48,0.5,0.48,0.48,0.48,0.54,0.5,0.42,0.5,0.32,0.4,0.54,0.4,0.4,0.36,0.44,0.34,0.2,0.34,0.28,0.3,0.42,0.34,0.32,0.36,0.36,0.44,0.4,0.36,0.24,0.26,0.28,0.26,0.38,0.24,0.22,0.4,0.28,0.32,0.14,0.16,0.44,0.34,0.26,0.24,0.28,0.18,0.26,0.22,0.24,0.1,0.12,0.24,0.14,0.18,0.22,0
0.08,0.04,0.18,0.12,0.12,0.08,0.16,0.18,0.18,0.08,0.08,0.14,0.1,0.16,0.12,0.08,0.12,0.14,0.02,0.06,0.2,0.14,0.24,0.22,0.2,0.16,0.12,0.2,0.2,0.18,0.16,0.16,0.16,0.24,0.32,0.4,0.2,0.18,0.3,0.22,0.22,0.14,0.16,0.24,0.06,0.2,0.14,0.28,0.26,0.16,0.24,0.22,0.3,0.24,0.18,0.2,0.2,0.3,0.26,0.2,0.24,0.36,0.24,0.22,0.18,0.3,0.4,0.34,0.14,0.28,0.3,0.34,0.24,0.2,0.24,0.3,0.42,0.3,0.26,0.36,0.18,0.3,0.34,0.28,0.22,0.28,0.14,0.2,0.34,0.44,0.28,0.34,0.3,0.5,0.2,0.36,0.24,0.32,0.34,0.44,0.3,0.3,0.4,0.28,0.26,0.28,0.16,0.14,0.28,0.26,0.26,0.16,0.22,0.26,0.26,0.24,0.28,0.3,0.26,0.16,0.16,0.16,0.24,0.2,0.26,0.14,0.16,0.14,0.12,0.12,0.1,0.18,0.14,0.18,0.26,0.22,0.14,0.2,0.14,0.18,0.14,0.16,0.14,0.16,0.2,0.1,0.04,0.14,0.14,0
0.06,0.04,0.1,0.12,0.06,0.06,0.1,0.04,0.16,0.18,0.12,0.18,0.04,0.08,0.18,0.16,0.16,0.14,0.16,0.08,0.1,0.22,0.18,0.32,0.24,0.24,0.28,0.28,0.22,0.16,0.3,0.2,0.3,0.3,0.4,0.32,0.28,0.32,0.34,0.26,0.4,0.3,0.32,0.28,0.44,0.38,0.42,0.44,0.36,0.22,0.44,0.3,0.54,0.38,0.38,0.4,0.28,0.38,0.3,0.38,0.34,0.32,0.56,0.36,0.42,0.32,0.54,0.48,0.42,0.4,0.48,0.56,0.36,0.28,0.3,0.38,0.36,0.26,0.36,0.42,0.4,0.52,0.3,0.4,0.36,0.48,0.22,0.52,0.2,0.26,0.3,0.4,0.24,0.48,0.32,0.3,0.28,0.34,0.32,0.28,0.32,0.26,0.3,0.3,0.26,0.28,0.2,0.2,0.12,0.16,0.26,0.2,0.2,0.22,0.18,0.26,0.12,0.26,0.16,0.24,0.12,0.28,0.14,0.1,0.18,0.14,0.12,0.08,0.1,0.1,0.08,0.04,0.2,0.08,0.1,0.26,0.04,0.1,0.1,0.16,0.18,0.18,0.14,0.12,0.12,0.04,0.04,0.16,0.08,0
0.1,0.02,0.02,0.1,0.22,0.12,0.1,0.14,0.04,0.02,0.06,0.18,0.12,0.16,0.12,0.1,0.06,0.2,0.04,0.08,0.1,0.04,0.08,0.08,0.1,0.22,0.2,0.18,0.24,0.2,0.18,0.16,0.26,0.18,0.18,0.28,0.34,0.34,0.32,0.3,0.28,0.36,0.22,0.2,0.32,0.14,0.36,0.32,0.32,0.26,0.3,0.28,0.36,0.32,0.32,0.4,0.2,0.26,0.3,0.2,0.2,0.28,0.24,0.16,0.18,0.38,0.26,0.18,0.2,0.3,0.4,0.42,0.22,0.12,0.2,0.28,0.28,0.36,0.26,0.28,0.2,0.3,0.34,0.4,0.2,0.28,0.16,0.18,0.24,0.16,0.18,0.32,0.24,0.24,0.26,0.14,0.26,0.02,0.22,0.16,0.14,0.24,0.22,0.14,0.16,0.16,0.16,0.14,0.12,0.16,0.18,0.14,0.12,0.12,0.18,0.28,0.16,0.14,0.2,0.18,0.18,0.22,0.04,0.2,0.18,0.12,0.08,0.1,0.22,0.12,0.3,0.22,0.04,0.12,0.06,0.18,0.08,0.14,0.14,0.16,0.16,0.14,0.08,0.18,0.1,0.06,0.18,0.1,0.24,0
0.1,0.1,0.08,0.02,0.08,0.1,0.08,0.08,0.12,0.1,0.12,0.18,0.14,0.08,0.1,0.18,0.16,0.12,0.08,0.2,0.08,0.12,0.08,0.12,0.1,0.16,0.1,0.24,0.18,0.12,0.18,0.18,0.1,0.2,0.14,0.24,0.08,0.14,0.3,0.22,0.24,0.22,0.18,0.2,0.2,0.24,0.26,0.16,0.34,0.24,0.22,0.18,0.1,0.24,0.14,0.26,0.18,0.18,0.08,0.2,0.26,0.14,0.26,0.22,0.26,0.2,0.14,0.12,0.2,0.24,0.24,0.14,0.14,0.16,0.22,0.38,0.14,0.22,0.26,0.16,0.18,0.16,0.3,0.28,0.2,0.16,0.28,0.28,0.24,0.22,0.3,0.16,0.24,0.06,0.24,0.18,0.12,0.12,0.1,0.14,0.1,0.1,0.16,0.1,0.16,0.16,0.12,0.16,0.2,0.14,0.06,0.06,0.02,0.1,0.18,0.14,0.06,0.22,0.08,0.16,0.04,0.12,0.08,0.16,0.1,0.12,0.08,0.08,0.1,0.16,0.16,0.22,0.12,0.18,0.14,0.06,0.16,0.08,0.04,0.08,0.06,0.08,0.08,0.08,0.04,0.06,0.1,0.06,0.06,0
0.06,0.04,0.04,0.1,0.12,0.1,0.1,0.14,0.08,0.12,0.08,0.1,0.12,0.06,0.12,0.1,0.1,0.08,0.24,0.24,0.1,0.2,0.18,0.18,0.18,0.22,0.2,0.24,0.1,0.24,0.14,0.26,0.22,0.2,0.28,0.28,0.3,0.38,0.18,0.42,0.48,0.28,0.22,0.3,0.28,0.46,0.32,0.26,0.32,0.38,0.4,0.4,0.26,0.32,0.24,0.38,0.28,0.26,0.18,0.38,0.24,0.3,0.42,0.36,0.32,0.3,0.22,0.2,0.3,0.3,0.36,0.32,0.14,0.32,0.3,0.18,0.2,0.44,0.26,0.12,0.28,0.26,0.3,0.14,0.22,0.26,0.28,0.26,0.22,0.38,0.24,0.16,0.18,0.3,0.2,0.22,0.14,0.24,0.22,0.06,0.18,0.18,0.08,0.2,0.18,0.12,0.14,0.18,0.06,0.06,0.1,0.14,0.14,0.08,0.08,0.1,0.26,0.12,0.16,0.14,0.14,0.04,0.1,0.16,0.18,0.08,0.08,0.1,0.18,0.1,0.08,0.1,0.04,0.16,0.08,0.04,0.14,0.1,0.12,0.06,0.04,0.16,0.06,0.06,0.08,0.04,0.08,0.04,0.08,0
0.06,0.12,0.14,0.08,0.1,0.14,0.08,0.06,0.1,0.18,0.12,0.1,0.2,0.26,0.12,0.12,0.18,0.3,0.1,0.16,0.16,0.14,0.16,0.2,0.08,0.14,0.14,0.08,0.24,0.1,0.18,0.2,0.1,0.14,0.3,0.28,0.18,0.12,0.22,0.22,0.16,0.2,0.08,0.12,0.24,0.14,0.2,0.16,0.12,0.14,0.16,0.1,0.16,0.22,0.14,0.12,0.14,0.14,0.2,0.14,0.14,0.1,0.16,0.14,0.24,0.14,0.16,0.14,0.1,0.3,0.24,0.14,0.2,0.24,0.16,0.16,0.18,0.14,0.24,0.26,0.12,0.22,0.26,0.16,0.14,0.26,0.24,0.14,0.08,0.16,0.1,0.2,0.18,0.32,0.2,0.38,0.34,0.26,0.18,0.22,0.14,0.3,0.12,0.3,0.22,0.3,0.22,0.24,0.28,0.24,0.26,0.16,0.18,0.12,0.28,0.26,0.28,0.24,0.16,0.14,0.1,0.1,0.24,0.18,0.18,0.12,0.08,0.16,0.2,0.18,0.16,0.12,0.16,0.16,0.12,0.16,0.1,0.14,0.2,0.16,0.1,0.14,0.14,0.12,0.28,0.1,0.06,0.18,0.12,0
