Omega \ Sigma,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0,0.11798,0.10772,0.11854,0.1111,0.11428,0.1077,0.10712,0.11214,0.11214,0.10852,0.10856
0.2,0.11148,0.11536,0.12116,0.11404,0.11652,0.11198,0.11408,0.10996,0.1192,0.11722,0.11122
0.4,0.11492,0.1189,0.11774,0.12114,0.11002,0.10964,0.11594,0.10978,0.11268,0.10862,0.11528
0.6,0.12992,0.12922,0.12358,0.12022,0.1181,0.11898,0.1212,0.11398,0.11306,0.10552,0.1199
0.8,0.1317,0.11654,0.13228,0.12178,0.12268,0.1176,0.11494,0.1149,0.11552,0.1192,0.1149
1,0.12646,0.13208,0.13614,0.13422,0.12572,0.124,0.11924,0.11748,0.12288,0.11712,0.12042
1.2,0.13574,0.13472,0.13116,0.12552,0.13308,0.12454,0.12408,0.11614,0.1212,0.11946,0.11962
1.4,0.14326,0.13738,0.13104,0.12918,0.12546,0.13562,0.13164,0.11724,0.12722,0.12024,0.115
1.6,0.15784,0.14336,0.13953,0.13864,0.12952,0.12168,0.1232,0.11264,0.11084,0.10264,0.10574
1.8,0.1404,0.14060,0.13368,0.13520,0.12964,0.11478,0.12094,0.11344,0.11106,0.10666,0.10908
2,0.15008,0.14076,0.13432,0.13448,0.12620,0.12166,0.12546,0.12038,0.10726,0.10460,0.11196